col_name,level_value
parameter,theta_fixed
parameter,theta_rand
parameter,alpha_fixed
parameter,alpha_rand
parameter,beta_fixed
parameter,beta_rand
parameter,gamma_fixed
parameter,gamma_rand
parameter,epsilon
number_measurements,5
number_measurements,7
number_measurements,9
number_measurements,11
measurement_spacing,Equal spacing
measurement_spacing,Time-interval increasing
measurement_spacing,Time-interval decreasing
measurement_spacing,Middle-and-extreme spacing
sample_size,30
sample_size,50
sample_size,100
sample_size,200
sample_size,500
sample_size,1000
time_structuredness,time_structured
time_structuredness,fast_response
time_structuredness,slow_response
conv_fail,0
